Author,Comment
@qmelodia,❤
@mollyfrances2171,"We love you Colleen! ❤"
@annaparmer4114,"I KNOW UR PLAYING 😂😂😂 HOWS IT NOT TRUE IF THERES LITERALLY PROOF 😂THIS APOLOGY IS RIDICULOUS"
@AndMoreBeauty,"Should have listed to your management team."
@reyeverdeen5948,"You’re team was right"
@mirkoyannick,"DELETE THIS PLEASE"
@edee5211,"this response was not it…"
@kanemythmancer8200,HELPPPP
@brookemarion02,"imagine posting this."
@misscharl996,"Anyone remember the &#39;be kind&#39; movement? Bet the majority of these trolls were encouraging that movement at the time...?? Make it make sense? BE KIND"
@pingie9115,"No she DID NOT"
@user-kk1jg7tf3u,"I used to watch Colleens videos and I think that she should’ve approached this situation in a different way instead of a song. She could’ve done this more professionally and talk about it to truly release her feelings."
@Gkwilson1487,"This is so cringey. Hire a PR person you freaking monster"
@amberr_xx,"So this is all a joke to you…hope you at least teach your kids to take accountability"
@cassi1833,"what the fuck am I watching did I just take 10 tabs of acid ?"
@sarahmackenzie7173,"THE BIGGEST LOSER at least you got that right"
@jossperez2952,"The people who care about you and i hope you are okay❤"
@jviltrakis83,"This is a WILD way to respond to all of the accusations LMFAOOO omg this feels like an episode of black mirror what is going on"
@shanneek4545,"I would have been happy with a &quot; yes I did this stuff and now I know better&quot; rather than just laugh in the faces of all the people that have VALID experiences. Abusers never see themselves as abusive. Take a long break from the internet. You made a mistake, but you keep making that same mistake. Over and over. <br>Stop the self pity and own up to what you did.  Becky&#39;s experience is valid. It wasn&#39;t just a &quot;fart joke&quot; you made a little girl feel violated and unsafe in your presence.  But yeah colleen, what do you know? Fuck you, right? And all the self pity parties you&#39;re throwing for yourself"
@GlitterC8k,"I&#39;m honestly flabbergasted she left the comments turned on. Was she confident people would accept this &quot;apology&quot;? This was so disrespectful to the victims."
@naenaelmao,"you can&#39;t be fr 😭😭😭"
@jojo5591,"comments r so disappointing this woman is objectively unproblematic and y’all are just proving her point"
@biblicallybad,"A UKULELE???"
@ashleyroach8630,"Big yikes! These aren’t rumors or opinions. Everything that has come out has been facts!"
@ju5teen23,"This is…scary"
@yesyesyes1993,"I- 💀😭 what is this girl"
@hello-nx3ie,"please be so serious"
@aimeescorner23,"Is this serious? I’m honestly appalled. What in the world?"
@voltricity6973,"this has got to be the most psychotic video ever posted to the internet"
@charlottebrown7716,"I&#39;ve missed you! ❤ I love you so much please stay!"
@lillianaswartz,"People act like they haven’t done anything wrong just because she is in the spotlight doesn’t make her any less human she already apologized for her past actions and as clearly changed them LET IT GO"
@Kat-tm3iy,"This is DISTURBING"
@X_nien_vh,"Girl where did you take accountability? You made your fans turn against a boy, who was right all this time. You are an adult, grow up. How do you think this idiotic songs will look?"
@baileychicks2,"nobody would accept an apology, or it wouldn’t be good enough for them anyways. ❤ I support you Colleen"
@dylroband,"I LOVE YOU SO MUCH HAHAHAH WERK"
@dakotastar1923,❤❤❤
@paggieneiman3335,"Stay strong collen"
@peachyyy_zahara,"Wow I’m actually really surprised that you would post this. This will definitely be taken down within a few days. I thought you were better than this. This is a real low"
@mace8277,"I heard of this and didn&#39;t belive it was real...sadly it is"
@harriet_emma8024,"These comments are acting like they have never maid an mistake"
@softplant5612,"what glee episode is this"
@mippy5842,"i don&#39;t think you understand what&#39;s going on here so:<br>you&#39;re a clown.<br>get off the internet. <br>hope this helps ❤"
@sleepybee69,"funny watching her avoid explaining or even referencing the situation with the young fan she claimed faked a serious illness to get her attention. i guess she just didn’t know how to victimize herself there!"
@bexchick,"No. This isn’t it."
@fairy920,"she fr thinks her life is a musical lol"
@celine_helm,"THEY ARE TAKING COMMENTS DOWN bruh ✋🏻😭"
@megancurryisapurplechicken,omg.
@charlotte9394,"This is such a fucking joke of an apology. Let’s make fun of the people who are hurt instead of taking actual responsibility for my shitty actions!!"
@kendallwebber2109,"Wow. This comes off so insincere and mean. It’s not about how you feel - it’s about how you made others feel. I was giving you the benefit of the doubt and waiting for your accountability video, but this is what we get?"
@tindrakristianssonlarsson4076,"Omg D:"
@traitorjaz,"this is not serious right … 😭"
@ihavebendyelbows,oml....🤨
@CB66969,"You waited til H3 went on break to post this bc you knew you’d get DRAGGGGED"
@myalondon6195,"you’ve hurt so many children and to make this joke of a video is soooo disrespectful. log out and be with your family!!"
@TSUNAMI-MAMI,"Are you kidding me dude??? YOU are the victim? When you’re the one who used young children for your emotional support and career ideas??? ENOUGH."
@c80made,"yeah you shoulda just listened to the team on this one, retched ass"
@ultravioletlemon,"Sometimes people can make a mistake and be a good person... if they apologize and change their behaviour.."
@nxx4872,"i don’t even know what to say😳"
@asisevapodcast,"I&#39;ve always sensed that Colleen was always walking on eggshells when she spoke, with fear of being called out for the most silly things, because people nowadays will cancel you for anything, she has also mentioned how she is a people pleaser so I always felt like she should stood up for herself and boy did she surprised me with this video/song. I love it, stand up for what you believe in Colleen. We don&#39;t have any right to meddle in your life, and the way these kids are bringing stuff to the public using cancel culture is not the right way of doing things and nothing good comes out of it. So I applaud you for drawing the line on the constant apologies and bowing your head down, and yes you are saying and taking accountability, but there is no right for millions of places treating you and painting you like a monster, because you are not, if you are a monster then the real bad people out there would be what?"
@shanagolden2595,"🤷🏻‍♀️jmo… you can watch … or block. You actually do have a choice. I know… might be a surprise to you 😳 are the mean comments REALLY necessary?  🤷🏻‍♀️ if this effects your life… I suggest you walk away cuz it really isn’t that important js   <br><br>Try smiling today and maybe a little kindness"
@tbg5445,"I LOVE YOU COLLEEN!!"
@khiggin18,"You’re…joking….right? This is a joke?"
@iamnemesys,"The spirit of The Vegan Teacher must&#39;ve possessed you"
@cadejones1377,"the ukulele i’m going to scream"
@t4k3n000,"Seems like I&#39;m the only one but I could only imagine what you&#39;re going through Colleen. Everyone deals with situations differently. I&#39;m actually proud of you for even putting this out. People can be so mean. I hope you and everyone involved is doing okay. You&#39;re not a horrible person and everyone makes mistakes just like you said. ❤"
@sarahbeara5233,"😳 girl. What was that?"
@kathleen7233,"I love you Colleen! Beautifully said. I have missed you so much. You bring me joy. Your true fans know who you are. Please cling to that."
@annierobinson2531,"Disliked immediately after she pulled out that damn ukulele. Girl shut UP"
@jocelynnmariah2993,"this is so embarrasing."
@RosalyMysenCullen,"Ok I’m 13 seconds in - is she taking the fucking piss 😅"
@sophiacaldwell3722,"This was a good way of responding. I miss your videos. ❤"
@victoriacara3846,"babe look! another bad YouTube apology dropped!"
@aim1534,"are you not embarrassed?"
@silvanamontero2635,"This is not as funny nor relatable as you think it is"
@NoeeemyLovee,"Y’all really are all horrible people leave her alone ! No one’s perfect and no one teaches you how to handle fans or how to be famous!"
@Mrtgv7,"What is wrong with this woman"
@BetterShannon,"This is absolutely the best response. I&#39;m so sorry you were the most recent target for the internet mob. Hope you&#39;re okay, and I&#39;m so glad to see your beautiful face again."
@julezferraz,"This video is actually a solid way of responding to this situation. You don’t have to like it or agree with what she is saying - it’s just better than a sobbing apology video."
@werschturtle,"Can we all just take min to remember she took the accountably and apologized three years ago. It&#39;s time to move on. The fact it resurfaced with more or less of the same info, doesn&#39;t warrant the need for a new apology. She hasn&#39;t done anything since and no one stepping forward is claiming anything in recent years. People grow and change. Love you Colleen, hope you see you again soon. Much love from NC"
@riannakristina5364,"everyone wants her to make a serious apology video and take accountability but she already did a couple of years ago when this stuff was brought up the first time so idk what y’all want from her - if you didn’t accept it the first time why would she take that route again"
@adp5481,"Maybe this wasn’t a good approach to a response??"
@MYSTERIOUSTEA,"You can’t be serious with this video. This is so bizarre! I usually like to hear people out when they are under heat for something but I can’t take this seriously. You should have listened to your team on this one…"
@Amy-cd7km,"Why is she singing?! That’s so crass and disingenuous."
@karina.rose.,"u really filmed this and thought ‘yeah people are gonna think this is okay’…. like these are serious allegations girl"
@maggiesavanah3195,"This is…. A choice"
@thebuggle9883,"GIRRRRL BYEEEEEEE THIS AWFULLLLL"
@zombuies,"put that damn ukelele down 😭"
@icantthinkofacreativeusern8670,"Did she think We were all going to listen to this 2016 ass ukulele song, and forget the screenshots, forget the actual videos,  and accept this apology, actually what?"
@cakeweek,"girl be serious!!"
@celine_helm,"Maybe it&#39;s time to put the ukulele down and take actual accountability. &quot;But what do I know&quot;"
@RachelBerger-md4rs,"WHAT is this?!"
@ElisFeno,"Are you planning to delete every comment that shows disappointment on what you did? You can try and delete as many comments as you want but it won&#39;t erase your actions. Real life doesn&#39;t have a delete function."
@MeghanHilley,i...what?
@onnawastaken3202,"This is FOULLLL"
@froggety,"Colleen: i taking accountability for what i did<br><br>Also colleen: (singing) i didnt do any of this stuff and the only proof you have for my side is my own word even though theres ton if evidence that i DID do this exact thing im pretending i didnt do and im acting like the victim in all this and this is hurting me so much and oh im so so emo <br><br>PLS COLLEEN HAVE AT LEAST A LITTLE SELF RESPECT 💀🙏"
@madiwolff5187,"NOT THE FUCKING UKULELE"
@taylorblair6117,"So, where are the facts exactly? Shouldn&#39;t taking accountability include an apology for &quot;mistakes&quot; when they&#39;ve hurt people, even if it wasn&#39;t their intention? 🤔This is an incredibly disappointing response."
@oliviajohnston6176,"Oh my god LOL"
@riann7707,"You know I can understand how cancel culture is toxic but only when the facts behind it aren’t true. For instance, Jenna Marbles was under fire for her past racist videos but shows she made changes and made a great apology video afterwards. She also hasn’t come back to YouTube afterwards, possibly won’t which is sad because she’s actually very genuine but I can see why she wouldn’t want to. I think it’s better for you to put up your ukulele and stop singing and actually make a video that is genuine and give an explanation for everything, even if it makes you look bad in the past it shows that you’re taking accountability and are willing to change. Better yet leave YouTube to show that you actually care for anything that has happened."
@user-weeidon,"bro wgar rge actual frick"
@mayabybee7063,"Its not a shitty song, its cringey"
@greenbeancori,"This is laughably horrible, holy moly you are facing SERIOUS ALLEGATIONS and your gonna sing a song? damn... you should have listened to ur PR team XD"
@mig4223,"This wasn’t a good idea Colleen 🤦🏻‍♀️"
@malinutu,"Please just log out and enjoy the millions you&#39;ve made so far"
@heyitsalo2713,"This video is fucked. She’s just playing the victim card and just playing it off like it’s not serious. Get help girl."
@Thomassteven00,"You were silent for 3 weeks just to come back with a video mocking the entire situation. I think you would’ve been better off just acting like nothing happened….."
@polycron,"- Seeking attention with click bait. <br>- Performing sadness<br>- Making a “light song” with an upbeat melody to deal with people who have been hurt <br><br>This is not being a responsible adult in the situation. This is having the ego of someone who doesn’t care what damage they have done."
@lbridge2010,"Hey Colleen, I honestly don’t know the whole story, and I don’t really care to. I’m obviously sorry that some people were hurt, but I think that the content you make now is so beneficial to so many people, your past mistakes should not take that away. I hope you come back soon, but I know this is something hard to come back from, so take your time."
@PrincessPeachMushroomKingdom,WOWWWWWWWWWWWWWWWW
@Suffi_,"LMAO YOU ARE A JOKE"
@JuliaFerranti,"All those kids wanted was a fucking sincere apology and you disrespect and shit on all of them by pulling out a fucking ukulele?? There’s a special place in hell is reserved just for you"
@impreaa,"I wonder if the intention was to make a song so bad everyone forgets about the allegations"
@jessicab3640,"she really wanted her rachel berry moment girl…."
@kaylab2557,"Oh she delulu"
@stubbs322,"I&#39;m so happy you&#39;re standing up for yourself. You definitely have made huge mistakes. But I feel you. Don&#39;t let this beat u down. Ull get through this."
@sullysubliminal,💀💀
@Mia-ym2fo,"the complete lack of remorse"
@erruh1514,"lmfao what a joke"
@greenglenda433,"What accountability…… this is not accountability…. Don’t think I heard the word sorry once… Only one toxic and manipulating is you.  Please just get off the internet for good, get some help l, and just take care of your kids and yourself."
@Luzia999,"the person who made a mistake was your mum"
@torilynn1014,"The ones who love you for you and see how you’ve learned an grew from these shitty situations will always have your back!  Life goes on no matter what happens your are LOVED an we’ve missed you so much💛  I love you Colleen!"
@roseparade5412,Yikes
@janetowen3429,"Colleen, you have been there for us for a LONG time...yes i am going to be a loyal supporter!"
@mayabybee7063,"Colleen - wow. Youre so self absorbed"
@lauryn___,"Yes Colleen!! 🫶🏼 Very well said!! I’m so so glad to see you back and I hope your vlogs will resume soon when you’re feeling up to it 🌟💓"
@traitorjaz,LMAOOOOOOOOOOOOOOO
@Emily-px9pg,"Please get a new PR team"
@abigailferguson5103,"I&#39;m so sorry about all these unforgiving there are many people who love and support you hope u decide to come back!we all love u the people in these commeents just dont have someone as amazing as you! They dont understand that you dont need to apologized for thethings you have done in the past cuz you already did 3 years ago! But as a loving and adoring fan i really think you should actually talk about whats going on instead of pulling out a ukulele i am not being hateful like everyone else is for attention i am just giving you advice. But even if you dont actully talk about it i will support you always!!❤"
@apresident,"This comment section is full of proof that media can so easily sway ones opinion."
@enagrace3385,"Lmaoo this will go down in youtube history 😂"
@MonicaLopez-hv4wn,"Colleen!!!! I’m sorry this is happening to you 😓 you still have us who still love &amp; support you! ❤️❤️❤️"
@KelseyPaige1984,"Everything I have seen, receipts were provided so I don&#39;t understand why she&#39;s still saying everything is all lies? Yikes this is a terrible take on &quot;Accountability&quot;..... You might think people&#39;s reactions are harsh and most are definitely harsh but the feelings of the people who  you hurt are very real and to be fair your feelings seem to be all you care about right now."
@thefourthgrde1954,"girly what made u think this would be the best way to respond"
@jacysanders2768,"We love seeing a queen mature and take accountability 👑 not you tho. Obviously someone else. You just played yourself worse than you played that ukulele"
@mikeysaloser,"WHAT IS HAPPENING BRO…? 😨"
@ksophe,"Oooohhh so you didn&#39;t get it. Even if you didn&#39;t intend it, the way that you treated this people was vile and they deserve a public and private apology, you actually just summarize someone&#39;s trauma that they suffer through you with a simple &quot;fart joke&quot; which is not what she deserves"
@layla_99s52,"if its not true, then DISPROVE IT- OH WAIT YOU CANT BECAUSE ITS ALL TRUTH. YOU ARE DESPICABLE"
@victoriacinquegrana2200,"LOL whos worse her or gabbie hanna 💀😭"
@cwchris_,"It’s sad what social media has turned into. Canceling people over the jokes we laughed at 5-10 years ago. Chronically online people will be the death of social media influencers."
@missbeccagale,"Such a loser LMAOOOO"
@kalekaela,"a SONG???? please be serious"
@hil2419,"You groomed kids deserved."
@adriannapaige6845,"this isn’t glee"
@kierstyn.g,"Colleen I was a supporter for years and came across what happened and I immediately stopped following you and I did hope that you would actually take accountability you’re a mother what makes you think this is okay to do and then to make a joke of it and turn it into a song I am in awe that you didn’t once think oh maybe I should just reach out to who I hurt instead of making a video singing which makes things seem like you’re not taking seriously and turning it into a joke. Ashamed to have ever supported you"
@hm-td6gh,"No remorse whatsoever"
@Zac-fz6de,"How do we know this is genuine? We know you love to perform. We know you are in theater and an actor. I mean coming on her and putting on a performance and song comes across as you aren’t taking this seriously. It’s just seem like this is a joke to you."
@Sarassparkles,"💚💙❤💛I think the problem is people not understand learning from your past and changing your behaviour and moving on. You shouldnt be condemned for things youve learned from as if their still your current actions 💖💙💜💚"
@dulcecedillo6990,"Oh girl this is going to bury you"
@asherphoenix,"put the instrument down and talk like a normal adult please? that’s sort of the only thing you had to do, idk how you screw that up"
@ultravioletlemon,"Okay but she actually barely even grroms her cats..."
@chondracrump8272,"LMFAOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO COLLEEN WHAT IS THIS ?!?!?"
@morgancarr8751,"HAHAHAHAHA I am so glad this is what I waited for"
@TheBlissfullyDandy,"Literally youtube history right here"
@emppu1167,"❤ hope the haters back off also for their own sake and find more suitable  place for them to be. Increasing or spreading hatred is not a solution to anything. Hope things turn for the better soon. ❤"
@emilyc2962,"Ok Lin Manuel Miranda Sings, you’re almost 40."
@MetaWP1703,"Aint no mf way this is real. No LNAOAIAJSHABSBSBSNSNW. I hope they take you for EVERYTHING LMAOOOO"
@elenaencheva8336,"I seriously dont understand what is this all about...get of her back... Im in no way defending her, BUT People make mistakes... EVERY. SINGLE. ONE. OF. YOU. MADE. MISTAKES...at some point in your life.... And luckily the whole internet didn&#39;t come after you cause YOU probably wouldn&#39;t take a 10th of what&#39;s she&#39;s being put through.... yeah she might have fucked up, but yet again you can&#39;t know unless you are her or the other people involved... And yet again WE ARE JUST HUNANS, WHI MAKE MISTAKES.... So take your PERFECT FLAWLESS MISTAKELESS lives and next time when you fuck up (and you WILL) remember you are no one and you&#39;re lucky enough to be no one, so the whole internet doesn&#39;t come for your ass.... Now chill out and go think about your life and your mistakes before coming after someone else&#39;s!"
@celine_helm,"BRO WHAT IS THIS ✋🏻😭"
@emmaganther8916,"Shut up."
@gothshawty2,"because of a fart joke? be fr"
@amandafossen6436,"This wasn&#39;t the way to go about it. Wanting to tell your side is understandable but this seems like you are making light of the whole situation. Whether or not you are taking accountability or just setting the record straight, it was in poor taste and honestly disappointing for someone who loves your vlogs..."
@BOWMMN,"bo burnham core"
@sabrinasoriano,"&quot;but not in a creepy way&quot; YOURE JOKING RIGHT ?"
@matthewalexander9514,"This was not it girl. Apologize and take accountability. Your ship is sinking"
@el__juli,"Is this a joke pls say yes"
@jesmy,"when the red flags wave themselves, believe them. 🚩you should have put the ukulele away and listened to your team."
@samaralee5161,❤
@angiefazio4087,"this is… embarrassingly bad. you are not the victim here, colleen…."
@SabrinaTwyla,"Theres plenty of people (aside from youtubers as well) who have changed from their pasts, and become better people, thats how we grow as humans. But most of if not all of them apologize authentically with statements whether it be in person or online. I appreciate the idea behind this personally, as a commentary on apology videos as well, but with so many screenshots and reciepts I think you need to do more than just this. People were really hurt, Colleen. I’m writing this as a previous fan, and person who always looks to kindness and positivity. I think most people know that Miranda is PG-13, but still most of the fans of Miranda are children so it’s not fair to them to be put in situations they don’t understand but adults do. I hope you read this specific comment from a place of caring and love, because as a previous fan I do care about you as a human being. We all make mistakes, but to grow you have to embrace the mistakes. Certain things need to be addressed not defensed. (Also why was this not posted on the main channel?)"
@billcillvol1,"seeing all ur young and impressionable fans buying this bullshit is literally the main issue"
@Ashley-gk3lf,"I was really hoping you would say something to help me understand. I think the issue is that you don’t understand what you did wrong. This is not an apology… I’m heartbroken. As much as I have loved watching you most of my life, I don’t understand. Maybe it’s time to walk away. Stay safe."
@jessicab3640,"okay lin w the rhymes💀"
@chloeconaboy7850,"PP CACA"
@alexishawkins4842,"Has the nerve to sing a song about the allegations made against her I CANT EVEN 💀💀💀💀"
@myalondon6195,"holy shit this is so bad😭😭😭"
@vulpixies3272,"This was quite the direction to take"
@ilovelightmcqueen,"holy shit💀"
@Emma-js8dp,"y&#39;all are acting like SCREENSHOTS that could literally be edited on picsart are proof💀 be fr"
@brismiles,"wow... just wow. i- ... wow. oh wow. WOW. uhh what does one even say? its a song.. you still did what you did... wha- wow."
@brieberman,"Here for you, girl. I know this comment will get drowned out by the negative, but whatever. It&#39;s unfortunate that cancel culture has taken over so much that people automatically believe and only see the negative. They fuel it while refusing to look for themselves if people have grown. Sometimes I think they don&#39;t even believe that ANYONE can grow. I&#39;m not even the same person I was a year ago, so why should I think that anyone else is too? People who know you or who have been watching for a long time can see your heart and where your intentions have always been. Know that a lot of us are here for you."
@silkyhoneymoonavenue,"this is so fucking unserious…..ANYWAYS <a href=""http://www.youtube.com/results?search_query=%23justiceforadam"">#justiceforadam</a>"
@autumnspencer2174,"THIS IS EXACTLY HOW I WANTED YOU TO RESPOND. i love her and you guys really need to take a look in the mirror."
@laurenb_2338,🫶🏻🫶🏻🫶🏻
@lauraragsdale1080,"Colleen I love you for this"
@ginm260,❤
@angelag2,Boooooo
@kyleeaberman6055,"WHATTTTTT IS GOING ON"
@rebeccaeagles,"the tampon thing was weird tho"
@alvaroprieto2092,Bruh
@victoriahuynh,"as someone who really was shocked when i all this came out and wanted it all to be untrue, this is very disappointing and you’re not the person i thought you were. you’re so clearly trying to cling to this good person persona you made instead of talking to your fans. it’s icky, you’re icky."
@onefierymexican4112,"Wow!! She needs to go away and stay offline and away from young fans."
@lauravanderheide,"You handled this with so much grace, taking accountability for mistakes that were made but NOT apologizing for whatever narrative people made up about you. I adore you and happy to see your face again!"
@Bumper778,"She seriously responded to the claims with a song? Is this a joke?"
@woopdyscoop,"what the fuck are you doing?"
@kellsbells3703,"Wow.<br><br><br><br><br><br>At least she admitted it&#39;s a &quot;shitty little song&quot; i guess..<br><br>She has all the resources for a decent apology, reaction or reply to all of these allegations but she thinks THIS..this is the way to go. Singing, playing her ukulele, a little laughter, victimizing herself, and a ton of facial expressions that are basically saying how she really feels, fuming with blame and anger.<br><br>I bet she&#39;ll be singing this song on tour in no time..😞"
@shaunna16x,"Ive followed you for MANY years and this just doesnt seem at all like you... Truly sad :-( xxx"
@PaigeBrekowski,"I feel like this is pure rage on Colleen&#39;s part. As fans, we all know she goes through emotional stages. And we all know she&#39;s literally been shushed by management team. This is what she chose to do. She&#39;s MAD. If she chooses to come back to this platform it&#39;ll be a long <del>sorry i&#39;m pissed, sorry this happened</del> post. Beyond that, that is what this is. She is pissed off. So she did what she does best. She sang, she pulled out a comfort tool and put it in front of her and sang. Theatrically. Because that&#39;s who she is. Take this for what it is. It&#39;s her coming online to say something, because she&#39;s been forbidden to say anything."
@Rachel-kr1jh,"We didn&#39;t have fun, thanks for asking 💛"
@raynebaby5607,"Girl get TF out of victim city and respect and apologize to those you Manipulated and abused ."
@Cmela93,"this is so sad but im laughing so hard at all you colleen STANS . I knew this was going to happen eventually, you guys literally ate out of her hands. she was always minipulative to you guys and you fell for it. Colleen is the biggest hypocrite and she doesnt care about anyone but MONEY and flynn, not even her twins or Erik."
@ewitssophie729,girl….
@chloemorgan3630,"As if everything about her isn’t horrible enough she really thought throwing in a ukulele would make things better?"
@CarlyMarie-xl1rh,"There’s literal proof you dingbat"
@Gkwilson1487,"We know what you are"
@laurielauriston3609,"is this real"
@theforest9380,"What’s wrong with you"
@miranda1594,"don&#39;t do bits in ur shows about cliche apologies and then put out the perfect hyperbolized example in response to serious accusations lmao"
@congelina,"yasss drop the lyrics lana! 😍"
@teehee7059,"is this a joke?"
@artofmuses,"Sending love to you and your family Colleen, please be safe."
@maeversailles4609,"ma’am, you cannot be serious😭😭 there is a whole bunch of people saying those with videos and pictures to back it up. take accountability, you’re in your 30s. grow tf up."
@mxmmax5140,"LMFAOO girly WHAT is this 😭"
@terminator2girl,"Best apology ever"
@dalorriesther444,"Girl delete this."
@user-cx4pd2fg5u,"she gotta go to jail"
@newt3786,"you’re delusional"
@itadoris_lastbraincell3089,"Bahaha, this is wild - genuinely get off the internet cause this isn&#39;t it - you ruined children&#39;s lives, and you can&#39;t even apologize right 🫥"
@hey87636,"I dont know what to think. I want to think colleen is telling the truth but"
@carrieostler5809,"Missed you. You’ve had an incredibly profound impact for good in my life. Thank you."
@user-bw9nu7mw8m,"good god"
@angelsemprit536,"Guuuuuuuuurl you are delusional, we have seen it all we know the tea, a lot of people compare you to Shane but you are wayyyyy worse."
@greysondowell8742,"this is giving gabbie hannah vibes"
@creativefefe4652,"After waiting so long there was no right or wrong way to do this....i thought...<br>I stand corrected"
@tayol0r,"god you can’t sing"
@otherbrookzy,"Love a bit of ukulele"
@alyssa3288,"I remember hearing these same accusations years ago and I thought he took them back and everyone agreed on it being dragged out because it was a character skit type thing- not an actual Colleen thing."
@kailastic,"This ain’t it girl."
@catherinequinto5274,"this is incredibly inflammatory, and did not resolve anything"
@floatmyway,"if you don&#39;t put that damn ukulele down"
@joeyjaze9154,"Theatre kids man…….."
@Sunny-jd7ty,"GIRL there’s so much evidence bsfr"
@Mallowmelloww,"What in the 2011 is happening here"
@alexbinge8693,"is this a joke?"
@eggyonline5308,"???? ARE YOU OUT OF YOUR MIND LMFAOOOOOOO"
@amaliefriskolsen5342,"I have missed you! ❤ I’m on your side 100% we are some that know you aren’t a bad person and that some people just are trying to get you don’t. Keep your head up! you got this! ❤"
@mirandacook7180,"Beautiful voice♥️<br>I’ve missed your vlogs, I am so proud of you for standing up for yourself. You have a great heart, with good intentions. Thank you for helping me during tough times (COVID/pregnancy/stress). Thank you for sharing a small fraction of your life. You’re inspirational, beautiful, kind and such a wonderful MOM, WIFE, FRIEND AND HUMAN! Don’t let others make you feel differently. Sending all my love! Now it’s time for us to be there for you!♥️"
@annegreene2789,"“ Not based on facts” literally on video and record"
@thatduo69,"colleen please be so fr rn😭"
@rustytheorangetabby6943,"Was this an accidental upload?"
@sullysubliminal,🍅🍅🍅🍅🍅🍅
@whynotkeegan,"IT&#39;S HAPPENING!!!"
@ravneet10,"I love you ❤"
@heygabbymae,"You are really skilled at deflecting!! Go off all the way to accountability town, big yikes."
@smokerscough2907,"What the fuck kind of Spongebob Squarepants song is this mess?"
@disneybrayden6812,"yikes……….. pls reevaluate and come back when you have a real apology 😊"
@TheMrsBeagle,"&quot;i felt humiliated when you spread my legs on stage&quot;<br>&quot;OMG it was a FART JOKE, get over it.&quot;<br>Jesus, apologize to the girl. Fuck."
@MalwineBalicki,❤
@TheCaoileannx,"Is this her way of pleading insanity? 😅"
@yesyesyes1993,"Jaw on the floor"
@brianalee3093,"what in the nevershoutnever is going on here 😭💀 <a href=""http://www.youtube.com/results?search_query=%23trouble"">#trouble</a> indeed lmaooo"
@EarthAngel19957,"You look even worse now..."
@angelinabyeuhkeddy1802,"how can they be lies if the messages were confirmed by NBC huh?"
@jessicab3640,"u say u were a loser then, and ur still a loser now idk😭😭😭😭."
@narem1092,"Hi, I&#39;m new here. What&#39;s this? Isn&#39;t she going to pretend to cry while apologizing?"
@saturncow7422,"Colleen you were not even near 100% wrong. The people who made all of those lies and rumors about you were 100% wrong."
@lottiej742,"this can&#39;t be real honestly"
@elliemihalek7265,"I&#39;ve been on your side throughout this. There are things I think you did wrong, but you did take accountability years ago. People just want something to complain about and everyone follows like sheep. I do think this could have been handled diffently though."
@GlobalDrag,"WHERE IS THAT LYRIC PERSON WHEN YOU NEED THEM"
@yesyesyes1993,"What 💀😭"
@monicae2290,"I LOVE HER 😂"
@frosty_teacup,"Lies made up for clout, backed up with endless screenshots? Bit of a juxtaposition there 🤔 I guess if one side has the proof of you doing something, and you don&#39;t have the proof you NOT doing that thing, I guess it is just easier to call it lies and hope your kids fans will believe you!"
@whatevermaann,"She tried to ruin a kid’s life people!!! This is no little mistake… that list of “mistakes” goes on and on!!"
@GlobalDrag,"CAN SOMEONE WRITE THE DAMN LYRICS"
@kyleeaberman6055,"NO WAYYYY"
@EchoMabel,"I wouldn’t mind this as much if you could actually sing well…"
@okaybrb,"what is this glee ass apology"
@jessicarobinson1220,"is this really happening? no apology? everything they&#39;re saying is true, there&#39;s too much evidence to suggest otherwise. NO ONE is having fun by being on the &#39;toxic train&#39; as suggested by this song. You ruined your reputation all by yourself. I wasn&#39;t even one of the ones treated poorly by you and even I&#39;m disgusted by whatever this is, i cant imagine how they must feel. If you are such a good person then give the people you negatively impacted with your inappropriate behaviour a genuine apology and show them and your fans how you have changed. make changes. You are not the victim here."
@toketyph,"Omg the sienna mae situation all over again💀💀💀💀"
@kyleeaberman6055,"HAHAHAHAH WHATTTTTTTTTTT"
@alem4691,"This is extremely disappointing."
@sarahwhateley8943,"I miss your videos so much. Please let us know how we can be supportive during this difficult time. ❤"
@bobococo89,"Won’t take accountability once, won’t even take it again. C u next Tuesday."
@rongarrett1366,♥♥♥♥♥
@vimalyspagan2888,"This is so slay."
@monchita333,"Colleeeeeen this is so baaad 😫🫣"
@melodri,"hard watch"
@omerChannaH,"* Writes a song about taking responsibility for their actions*<br><br>angry mob mentality * not enough responsibility!*"
@Rachaelbot,"Uhhhh... I&#39;m not quite sure what I was hoping to see posted... but this wasn&#39;t it."
@cavaalli,"you deserve jail !!!!"
@Refrigerator200,"Are you fucking kidding me?"
@user-vx5kj1kf8h,"this is downright nasty"
@kennajeffries4150,"YOU CANNOT BE FR RIGHT NOW OH MY GOD"
@unicorngirl7169,"Love you Colleen, keep your chin up! You still have thousands of us behind you, backing you every step of the way. Sending big hugs to you and the fam xxxx"
@user-qs5lu4zs2f,"wow… i grew up watching u. this response is not it. i’m disgusted and disappointed"
@xasmii9734,"the way my jaw dropped"
@jennifblair,❤
@nataliebussjaeger6488,"Jfc. You wrote this years ago, didn&#39;t you?"
