Author,Comment
@susanstarr3714,"You need to move on.  Just start. Vloging again .Don&#39;t let them win they are just jealous.   Move on for your kids vlog vlog vlog."
@MEMEHUB_.,"Ok but at least she said sorry"
@MissMaamAMG,"“ The only thing I’ve ever groomed🪒 is my two Persian cats🐈🐈‍⬛ Not a groomer👧 Just a loser🫵” goes hardddd🗣️🗣️🔥🔥🔥🔥"
@aquamarineblue8690,"Colleen, I’m sorry you have to go through this nonsense.   😓<br>I still love you Colleen.  ❤<br>This all so ridiculous.  <br>I’m confused."
@Zach-ex1zz,"This on Spotify?"
@judybelight8041,"Only seeing this although checking in frequently.<br>You are light! Be you ❤️"
@kristyrivera6517,"Girl let the haters back off please make more vlogs you make my day so much better watching your videos. I have pretty much all your videos. I hope you are doing okay you made mistakes but we are all human."
@aquamarineblue8690,"Toxic Gossip Train, sounds Great.   Hope all is great."
@ellaskowron5627,"Your voice is so amazing❤️"
@salorlia9154,"I&#39;ve been watching colleen and stopped but still sometimes watched her videos but if you people actually watched colleen and Miranda yall would know colleen anit like that cause now the Genz is so sensitive and snowflakes because 1 person did a mistake and all these things were back then in the 2010&#39;s and the humor and status were different then like people could take jokes and the thing with Adam if u watched the stream he SPECIFICALLY asked for the panties because she was unboxing random things and was giving it away and with the girl who was &quot;exposed&quot; on stage she wanted to get called up for the corn challenge but got called up for yoga and she could&#39;ve denied it and didn&#39;t go up but she did so its basically her fault for going on stage knowing her outfit was revealing and with the kid and cheeseballs he could&#39;ve said he didn&#39;t but that was all an innocent act u can hear the parents and children laughing in the crowd so all this is absolutely bogus because when something comes out and you realize colleen was right and innocent yall gonna look real dumb and if those people were victim&#39;s I&#39;m sorry but everyone should not be jumping on colleen like this cause yall loved her and now all of sudden hate her make it make sense because if you were a fan you&#39;d defend her and not accuse her so what is this like all these people are so invested in someone else&#39;s life and making a big deal out of it and now that technology is advanced there&#39;s things that can be fake and generated so yall shouldn&#39;t be riding colleen like its the toxic gossip train so yall really need to calm down with all this she made an apology and you guys are upset about it this is wildddd"
@abbyboisvert7546,"ALL ABOARDDDD"
@huskies123,"Honestly preach"
@erenjaeger465,Bruh
@tucshar4438,"this is fye bro🔥🔥 cant wait for the next track! 🫶🏽"
@dessd3117,"THEY DIDN’T SAY I COULDN’T SINGGGGG"
@ImAviatorr,"her PR team told her not to speak on the issue, so she sang about it instead!"
@lianaoneil8542,"I’m sorry but she’s right….. I’m not saying what she did is correct or incorrect because I don’t know what is true or untrue but now a days society is so ready to jump and destroy people’s lives with things that happened in the past or mistakes they have made. It’s not fair. People change and make mistakes. It’s not fair to hold it over their head forever"
@laila4871,….
@carrotgod2370,"IS THIS ON SPOTIFY"
@Roma88572,"The hook low key slaps"
@aamnainfebruary,"Most apology of all time"
@maryannemaree5328,"❤ hi"
@marliegrossman,"Alright, I personally think this was very well said. I do think that some specific addressing needs to be done but her message about taking the proof and receipts and adding to them to gain more views and ruin her reputation was LOUD and CLEAR. Also why does everything need to be shown on this platform?: To gain more views… it’s disgusting and unnecessary to have this drama out for the whole world to see."
@allidellapenna,❤️
@emmytheg.r.,"Some people won’t forgive you, but god will forgive you even from your biggest mistakes ❤❤❤"
@revvenante,"thank you so much you are so brave"
@Rat-ql4my,"I honestly feel bad because we all know whatever she dose to make up for it, it will never be enough for you guys I honestly believe her. She’s a human we all make mistakes even if they really really bad!! She only human after all let her live."
@UnCreativeBeliever,"No one is perfect, we all make mistakes. You aren&#39;t evil for making mistakes, even really bad mistakes. Being 20, 25, 30 doesn&#39;t make you immune to mistakes."
@saragog,"Didn&#39;t she play a ukulele in some other videos? I have watched on and off for years and I remember her doing that at some point, maybe about haters or pregnancy or something like that.. i can&#39;t remember."
@luvingyuu,"Since I’m with God I’ma forgive u💕"
@jazmynhermel5259,"Ok I’m done. Leave Colleen alone. Everyone in entitled to their own opinions, I get that. Her Miranda character is supposed to make strange comments..THATS HER JOB. Her content is for adults. Anyways, the rumors are sad..if the rumors that are being spread didn’t come from her or you don’t have concrete proof that she did ANY of that..I’m with her. I have been watching Colleen for almost 4 years. So stop holding her to her past. NOBODY IS PERFECT. How would you like it if someone were to go and TEAR apart your past. Colleen, I am so sorry for these rumors that are not even being told as the truth. I truly love you and your content. Some people..aren’t meant for your content. I love you ❤️"
@Martheunknown_,"Life isn&#39;t real 😭"
@sapnarao5908,"the chorus lowk goes hard"
@rrxdss,"girl whens this dropping on spotify?"
@bustin9938,"i forgive you miranda<br>Hope it gets better"
@islamartiall,"HE DIDNT SAY I COULDNT SINGGG"
@kitkat_choco36,"Like get it queen!"
@jackcarranza9550,"This shit is heat colleen 🙌"
@Joicab88,🥴
@jazzmineeasterling8333,"Keep making videos my love were with you f the ones that ain’t"
@Checkoutmychannelrn,"Wow. Just wow."
@gull6037,"am i the only one who thinks its decent"
@sienna009,"This made me cry"
@grassy7206,"this cant be real"
@kieronboston9807,"They’re things wrong that’s happened. Say sorry. You really need to say sorry. No your not a horrible person. You’re an awesome person actually"
@makayla3262,"&quot;HE DIDN&#39;T SAY I COULDN&#39;T SIIINNNNGGGGGG&quot;"
@sironell_xoxo,"ALL ABOOOAAAARD"
@elleigh_M,"Hey I’m still here for u❤️"
@elijahtron07,"this going straight to the playlist 🔥"
@DisneyWishNov22,"Love you Colleen ❤️"
